# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"DESOGESTREL\ETHINYL ESTRADIOL","X-ray abnormal","4","1","1","11994","9596.0","5877.899","1","70.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","General symptom","3","2","1","11994","7197.0","3747.812","1","73.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Pustular psoriasis","3","2","1","11994","7197.0","3747.812","1","73.0","1"
"MYOCHRYSINE","Onychomadesis","8","6","1","11985","6849.143","5352.407","1","77.5","1"
"BUTRANS","Onychomycosis","9","9","1","11981","5991.0","4810.901","1","78.0","1"
"GOLD SODIUM THIOMALATE","Onychomycosis","9","9","1","11981","5991.0","4810.901","1","78.0","1"
"BERINERT","Onychomycosis","9","11","1","11979","5391.0","4328.833","1","78.0","1"
"BUTRANS","Onychomadesis","8","10","1","11981","5325.333","4161.038","1","77.5","1"
"NADOLOL","Proctitis","3","4","1","11992","5139.857","2676.026","1","92.0","1"
"NADOLOL","Vaginal flatulence","3","4","1","11992","5139.857","2676.026","1","92.0","1"
"BERINERT","Onychomadesis","8","12","1","11979","4792.0","3744.058","1","77.5","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Onychomycosis","9","15","1","11975","4491.0","3605.73","1","78.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Onychomadesis","8","16","1","11975","3992.0","3118.589","1","75.0","1"
"DOMPERIDONE MALEATE","Onychomadesis","8","16","1","11975","3992.0","3118.589","1","77.5","1"
"FLUMETHASONE PIVALATE","Swollen joint count increased","7","15","1","11977","3811.182","2874.88","1","73.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Adjustment disorder with depressed mood","3","2","2","11993","3598.5","2997.499","1","73.0","1"
"DESOGESTREL\ETHINYL ESTRADIOL","Rash vesicular","3","2","2","11993","3598.5","2997.499","1","73.0","1"
"PYRIDOXINE","Proctitis","3","7","1","11989","3597.0","1872.187","1","92.0","1"
"PYRIDOXINE","Vaginal flatulence","3","7","1","11989","3597.0","1872.187","1","92.0","1"
"CORTISONE ACETATE","Onychomycosis","9","21","1","11969","3591.0","2882.628","1","78.0","1"
"MYOCHRYSINE","Onychomycosis","8","6","2","11984","3424.571","4816.068","1","81.0","1"
"CORTISONE ACETATE","Onychomadesis","8","22","1","11969","3192.0","2493.12","1","77.5","1"
"AIMOVIG","Onychomycosis","9","25","1","11965","3167.471","2542.344","1","78.0","1"
"DESOXIMETASONE","Onychomycosis","9","25","1","11965","3167.471","2542.344","1","78.0","1"
"AZATHIOPRINE SODIUM","Onychomadesis","5","0","4","11991","2998.75","5397.299","1","77.0","1"
"TEPEZZA","Endocrine ophthalmopathy","4","4","2","11990","2998.0","3059.072","1","6.0","0"
